Species name & GenBank accession #	Clade assignment
AF100949_Rhabdocalyptus_dawsoni	Holozoa
AF271997_Ministeria_vibrans	Holozoa
AF192386_Pseudoperkinsus_tapetis	Holozoa
AF232303_Ichthyophonus_irregularis	Holozoa
L29455_Sphaeroforma_destruens	Holozoa
AF118851_Rhinosporidium_seeberi	Holozoa
AF349564_Capsaspora_owczarzaki	Holozoa
AF271999_Monosiga_ovata	Holozoa
AY149897_Codonosiga_gracilis	Holozoa
L10823_Acanthocoepsis_unguiculata	Holozoa
L42528_Corallochytrium_limacisporum	Holozoa
AB252741_clone_NAMAKO1_Namako1	Namako_1
AB505486_clone_RM1SGM29_Namako1	Namako_1
AB505547_clone_RM2SGM39_Namako1	Namako_1
HQ342676_Subulatomonas_tetraspora_ATCC50623	Planomonads_Breviates
AF372745_clone_BOLA187_Breviatea	Planomonads_Breviates
AF153206_Breviata_anathema	Planomonads_Breviates
AB505485_clone_RM1SGM28_Breviatea	Planomonads_Breviates
AY180022_clone_CCW35_Breviatea	Planomonads_Breviates
AB505579_clone_RM2SGM71_Breviatea	Planomonads_Breviates
GU001154_Mantamonas_plastica_CCAP19461	Planomonads_Breviates
GU001156_Mantamonas_sp_AF21	Planomonads_Breviates
AF053088_Planomonas_micra_ATCC50267	Planomonads_Breviates
XXX_Planomonas_sp_Mexico1b	Planomonads_Breviates
EU349231_Planomonas_mylnikovi_B70	Planomonads_Breviates
DQ525691_Saccinobaculus_sp_E02	Preaxostyla
DQ525693_Saccinobaculus_ambloaxostylus	Preaxostyla
DQ525700_Saccinobaculus_doroaxostylus	Preaxostyla
AY831435_Monocercomonoides_sp	Preaxostyla
AB092942_Pyrsonympha_grandis	Preaxostyla
AB092925_Dynenympha_parva	Preaxostyla
AB092930_Oxymonas_sp_NkU03	Preaxostyla
AY188885_Streblomastix_strix	Preaxostyla
AF244903_Trimastix_pyriformis_1	Preaxostyla
AF244904_Trimastix_pyriformis_2	Preaxostyla
AF244905_Trimastix_marina	Preaxostyla
AB505546_clone_RM2SGM38_Preaxostyla	Preaxostyla
AB490705_Arachnosphaera_myriacantha	Radoizoa
AB101542_Spongaster_tetras	Radoizoa
AB246698_Stylodictya_sp_8037	Radoizoa
EU287801_clone_OLI011_75m_2_5_Polycystinea	Radoizoa
GU246583_clone_MO010_880_0003_Radiolaria	Radoizoa
AF530525_clone_AT494_Radiolaria	Radoizoa
FJ537313_clone_Biosope_T33_044_Taxopodida	Radoizoa
AY268045_Sticholonche_zanclea	Radoizoa
AY665046_clone_SCM28C110_Taxopodida	Radoizoa
EU287796_clone_OLI011_75m_82_Radiolaria	Radoizoa
DQ314821_clone_NW614_49_Acantharea	Radoizoa
AF063242_Symphyacanthida_sp_211	Radoizoa
AF063240_Acanthometra_sp_205	Radoizoa
AJ402342_clone_OLI11032_Acantharea	Radoizoa
GU246576_clone_MO010_500_0014_Acantharea	Radoizoa
EF172833_clone_SSRPB73_Polycystinea	Radoizoa
AY266295_Collozoum_inerme	Radoizoa
HQ651791_Ceratospyris_hyperborea_134	Radoizoa
AB246697_Pterocorys_zancleus	Radoizoa
HQ651779_Eucyrtidium_calvertense_129	Radoizoa
Z14140_Chondrus_crispus	Rhodophyta
L26205_Gracilaria_gracilis	Rhodophyta
Z14139_Ahnfeltia_plicata	Rhodophyta
Z14142_Palmaria_palmata	Rhodophyta
L26184_Corallina_officinalis	Rhodophyta
AB013179_Porphyra_umbilicalis	Rhodophyta
AF169336_Bangia_fuscopurpurea	Rhodophyta
AB091229_Galdieria_partita	Rhodophyta
AB091230_Galdieria_sulphuraria	Rhodophyta
AJ010592_Nm_Guillardia_theta	Rhodophyta
CP000881_Nm_Hemiselmis_andersenii_CCMP644	Rhodophyta
AB090833_Cyanidium_caldarium	Rhodophyta
AB158483_Cyanidioschyzon_merolae	Rhodophyta
L26187_Dixoniella_grisea	Rhodophyta
AB045583_Glaucosphaera_vacuolata	Rhodophyta
AB045605_Corynoplastis_japonica	Rhodophyta
AF168624_Rhodella_violacea	Rhodophyta
AF342749_Flintiella_sanguinaria	Rhodophyta
AF087126_Smithora_naiadum	Rhodophyta
AF087125_Compsopogonopsis_leptoclados	Rhodophyta
AF168627_Bangiopsis_subsimplex	Rhodophyta
XXX_Rigifila_YPF923_Akinori	Rigifilida
AY268038_Micronuclearia_podoventralis	Rigifilida
L37205_Ciliophrys_infusionum	Stramenopiles
U14385_Dictyocha_speculum	Stramenopiles
U14389_Pelagomonas_calceolata	Stramenopiles
AF083397_Tribonema_intermixtum	Stramenopiles
M97959_Fucus_distichus	Stramenopiles
U73220_Synura_mammillosa	Stramenopiles
M87328_Nannochloropsis_salina	Stramenopiles
AJ535169_Thalassiosira_pseudonana	Stramenopiles
M87325_Bacillaria_paxillifer	Stramenopiles
AF123596_Bolidomonas_mediterranea	Stramenopiles
M87329_Rhizosolenia_setigera	Stramenopiles
AJ561114_Pirsonia_diadema	Stramenopiles
X80344_Hyphochytrium_catenoides	Stramenopiles
M32705_Achlya_bisexualis	Stramenopiles
M54938_Phytophthora_megasperma	Stramenopiles
AY032607_Eurychasma_dicksonii	Stramenopiles
U37107_Developayella_elegans	Stramenopiles
AF363186_EnvClone_MaSt02_ME117	Stramenopiles
U37108_Proteromonas_lacertae	Stramenopiles
AY576544_Protoopalina_intestinalis	Stramenopiles
AY266473_Blastocystis_geocheloni	Stramenopiles
U51151_Blastocystis_hominis	Stramenopiles
AB275039_EnvClone_MaSt12_DSGM39	Stramenopiles
AB191426_EnvClone_MaSt09_TAGIRI18	Stramenopiles
AF363207_EnvClone_MaSt06_ME124	Stramenopiles
AB095092_Labyrinthula_sp_L59	Stramenopiles
L27634_Labyrinthuloides_minuta	Stramenopiles
AB022108_Schizochytrium_minutum	Stramenopiles
L34054_Ulkenia_profunda	Stramenopiles
AF185052_Symbiomonas_scintillans	Stramenopiles
AF174366_Cafeteria_sp_EPM1	Stramenopiles
AF174367_Caecitellus_parvulus	Stramenopiles
AF315604_Pseudobodo_tremulans	Stramenopiles
AB032606_Wobblia_lunata	Stramenopiles
AB252771_EnvClone_MaSt13_NAMAKO31	Stramenopiles
AF352242_Closterium_selenastrum_R940	Viridiplantae
AJ428117_Desmidium_grevillii	Viridiplantae
AJ428077_Zygnema_sp_M1384	Viridiplantae
AJ250110_Chaetosphaeridium_globosum	Viridiplantae
AJ250109_Mesostigma_viride	Viridiplantae
AJ250112_Klebsormidium_nitens	Viridiplantae
X68825_Coleochaete_scutata	Viridiplantae
X52322_Arabidopsis_thaliana	Viridiplantae
AY049040_Triticum_aestivum	Viridiplantae
X79407_Abies_lasiocarpa	Viridiplantae
U18628_Pteridium_aquilinum	Viridiplantae
X81964_Huperzia_phlegmaria	Viridiplantae
X75521_Marchantia_polymorpha	Viridiplantae
Y16465_Chara_globularis	Viridiplantae
M32703_Chlamydomonas_reinhardtii	Viridiplantae
AJ005414_Ulva_rigida	Viridiplantae
X13688_Chlorella_vulgaris	Viridiplantae
AF153314_Picocystis_salinarum	Viridiplantae
AY425306_Nephroselmis_pyriformis	Viridiplantae
X91264_Pycnococcus_provasolii	Viridiplantae
AB017129_Mamiella_sp_Shizugawa	Viridiplantae
AF509625_Dolichomastix_tenuilepis	Viridiplantae
AB058379_Prasinoderma_coloniale	Viridiplantae
AF203400_Prasinococcus_sp_CCMP1194	Viridiplantae
AJ010407_Pterosperma_cristatum	Viridiplantae
